local,resolution,features,stage,seed,model,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson,Spearman
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,75,xgb_poisson,0.1480329600047595,0.3847505165750393,0.0475108949474216,0.3565660697505144,80.53688922915826,5.721403989827689,1.059074028721474,0.5988351100982712,0.3805506488723889
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,75,xgb_zip,0.1629586661312153,0.4036813918565176,0.0451355733047759,0.2916906139440137,95.57514014151016,4.818583652771044,1.529803113791486,0.5441438179923751,0.3110819918940743
RJ,DAILY,FULL,BASELINE_METHOD_CORRECTED_V2,987,rf,0.1494965270031086,0.3866478074464002,0.047870837237666,0.3502045900780085,80.64983795395455,5.753920826099454,1.0666225566351306,0.5933630744404377,0.3750731977974337
RJ,DAILY,FULL,BASELINE_METHOD_CORRECTED_V2,987,xgb_poisson,0.1527598054526794,0.3908449890336058,0.0465768298305891,0.3360205591821976,81.82310243412253,5.562447928193991,1.1107984484221234,0.58814694076897,0.3736286218526951
RJ,DAILY,FULL,BASELINE_METHOD_CORRECTED_V2,987,xgb_zip,0.1647613523121086,0.4059080589395936,0.0459595734237651,0.283855132883976,97.43025999282014,4.862766622012414,1.5748523246221766,0.5447691814040407,0.2969837478345252
RJ,DAILY,FULL,METHOD_CORRECTED_V2,107,rf,0.1486070828313477,0.3854958921069688,0.0476090610265792,0.3540706112610964,80.57626304523635,5.718323076171375,1.0640991924904362,0.5965770766511669,0.3781494508711051
RJ,DAILY,FULL,METHOD_CORRECTED_V2,107,xgb_poisson,0.1473532342748352,0.3838661671401053,0.0470869959692413,0.3595205374439444,80.63567441830021,5.674597084842321,1.0657241674747455,0.6020114859818857,0.3798685799119911
RJ,DAILY,FULL,METHOD_CORRECTED_V2,107,xgb_zip,0.1608049618490919,0.4010049399310337,0.0461499561227373,0.3010518157385142,94.56436718853844,4.87827818093688,1.4435796711046862,0.5519892356670477,0.32941728955095
RJ,DAILY,FULL,METHOD_CORRECTED_V2,109,rf,0.1495976678119376,0.3867785772401796,0.047695328187051,0.3497649756290955,80.58951661705122,5.728308381877123,1.0616686604067471,0.5930082182936691,0.3781235894569826
RJ,DAILY,FULL,METHOD_CORRECTED_V2,109,xgb_poisson,0.1475495664331504,0.384121811972648,0.047173263129713,0.3586671682195839,80.65498966612148,5.682640045146524,1.0679554749635711,0.6011772849300331,0.3789748435046394
RJ,DAILY,FULL,METHOD_CORRECTED_V2,109,xgb_zip,0.1608480954293278,0.4010587181814252,0.0456278910653994,0.3008643331058896,94.96020485509192,4.84911194212375,1.476303089758637,0.5519185890573637,0.3224250484262543
RJ,DAILY,FULL,METHOD_CORRECTED_V2,140,rf,0.1489729745809349,0.3859701731752532,0.0476536819716508,0.3524802413429699,80.63051379286078,5.72340490894491,1.0634706351258505,0.5952639649859284,0.3777575384508175
RJ,DAILY,FULL,METHOD_CORRECTED_V2,140,xgb_poisson,0.1479898264245236,0.3846944585310837,0.047200035696756,0.3567535523831391,80.58247148183426,5.687381178497743,1.0639560663794554,0.5994644071329582,0.3802904009712873
RJ,DAILY,FULL,METHOD_CORRECTED_V2,140,xgb_zip,0.1599631133520741,0.399953889032316,0.0453646274894768,0.3047109595338785,94.84917123216722,4.843900309159482,1.4856930599312417,0.5554915928808165,0.319685210718165
RJ,DAILY,FULL,METHOD_CORRECTED_V2,149,rf,0.1491112995106569,0.3861493228152251,0.0475808010947005,0.3518790039348978,80.7456725147371,5.713179291091733,1.0646683817848357,0.5947607007466353,0.3777803345632951
RJ,DAILY,FULL,METHOD_CORRECTED_V2,149,xgb_poisson,0.1483839781059896,0.385206409741569,0.0470081656329481,0.3550403490160516,80.74848030050654,5.653813577772808,1.072173155148911,0.6001973871555397,0.3792005653737949
