ID_UNIDADE,TOTAL_CASES,LAT,LNG,DIST_KM,LEVEL
3416321,132,-22.86444,-43.42661,1.5960212809513712,1
3416356,121,-22.877,-43.41128,1.7359155839452325,1
7722494,349,-22.87322,-43.43166,2.458496610896229,1
6038883,320,-22.87429,-43.43174,2.530906719902468,1
9023089,136,-22.88443,-43.41602,2.6056219045864424,1
5955688,168,-22.83859,-43.39829,2.868523936061188,1
7998678,57,-22.83859,-43.39829,2.868523936061188,1
7069472,3,-22.83859,-43.39829,2.868523936061188,1
7101856,498,-22.88865,-43.41406,3.043629796548663,1
6855709,143,-22.88865,-43.41406,3.043629796548663,1
6761704,56,-22.83381,-43.40728,3.0954046397228616,1
3820599,267,-22.88405,-43.42913,3.106948220703157,1
2298120,747,-22.86603,-43.44165,3.1431696939846483,1
6901042,126,-22.86505,-43.44512,3.479952189486249,1
2270560,336,-22.89142,-43.40083,3.51015498441154,1
5682819,1,-22.89142,-43.40083,3.51015498441154,1
9311661,88,-22.88742,-43.43134,3.543482991406785,1
2269759,64,-22.82963,-43.4154,3.555270912518434,1
6037569,83,-22.8689,-43.37649,3.6719024405189593,1
0697524,53,-22.88305,-43.38388,3.707354860922963,1
2273179,48,-22.84823,-43.37721,3.7955276625844174,1
2273411,187,-22.86391,-43.37268,3.9759864949455763,1
2270455,379,-22.87285,-43.44901,4.059731339438491,1
7108265,53,-22.86017,-43.37163,4.07598379125801,1
0189200,3,-22.86436,-43.37122,4.1289139301614926,1
2269945,2,-22.86436,-43.37122,4.1289139301614926,1
7021771,62,-22.84007,-43.37814,4.150531839136094,1
6571956,11,-22.84697,-43.3731,4.2382665204934655,1
2290642,1,-22.82364,-43.42186,4.332470568371918,1
5546583,150,-22.86167,-43.4541,4.376306401088973,1
6023916,108,-22.8699,-43.4552,4.5874476031072895,1
3176355,4,-22.88213,-43.37158,4.6854476331768105,1
6387152,48,-22.889,-43.44679,4.7518690648069635,1
2812584,1,-22.88246,-43.45365,4.923054066549308,1
6974708,14,-22.8478,-43.36527,4.961293063246502,1
9151583,16,-22.88049,-43.45521,4.966669532246814,1
6922031,27,-22.87221,-43.45854,4.978525811286161,1
5955645,18,-22.87128,-43.45959,5.059516550080315,2
3416372,204,-22.85456,-43.46303,5.345511149503306,2
7185081,1,-22.88499,-43.36527,5.404835406808964,2
7605935,221,-22.87978,-43.46051,5.432255260621698,2
2270463,166,-22.85694,-43.46443,5.457172645089015,2
7892802,49,-22.8477,-43.35916,5.563918507061786,2
3024032,63,-22.81118,-43.41842,5.6292854748635675,2
6427138,301,-22.87916,-43.46362,5.704466181385616,2
7088574,24,-22.81651,-43.38196,5.8307982017511835,2
6793231,15,-22.81514,-43.38181,5.969495682379389,2
5073898,1,-22.80778,-43.41714,5.9901092587166405,2
0193089,134,-22.88215,-43.46552,6.007166019011186,2
7561199,3,-22.88215,-43.46552,6.007166019011186,2
2293900,3,-22.80778,-43.41962,6.020430664480149,2
5465885,7,-22.91591,-43.42046,6.133283154671941,2
2284073,1,-22.81097,-43.38657,6.156294234543923,2
6899919,11,-22.80665,-43.4018,6.1655091043572,2
6680704,379,-22.82185,-43.36808,6.247088918500979,2
7810172,125,-22.87613,-43.47067,6.290935511674064,2
2284081,2,-22.80884,-43.38727,6.344450880753373,2
0199338,28,-22.88397,-43.35412,6.382001519289576,2
5478898,3,-22.80433,-43.40361,6.394553549286327,2
2269732,203,-22.84962,-43.35009,6.415860304978745,2
9057722,74,-22.83883,-43.35262,6.523537494267089,2
2269627,58,-22.8236,-43.362,6.578077141103979,2
7041624,18,-22.87766,-43.47356,6.621668951037814,2
