ID_UNIDADE,LAT,LNG,Y_MEAN,N_OBS,coef_Intercept,t_Intercept,coef_TEM_AVG,t_TEM_AVG,coef_RAIN,t_RAIN
2296535,-22.80883,-43.3216,0.23809523809523808,21,-0.379302580805024,-8.101715322633657,0.0627075747009936,1.2085617344222912,-0.0050731472676978475,-0.08096284982816276
2296543,-22.92084,-43.3604,0.19047619047619047,21,-0.39422363966516394,-8.332774618803045,0.029614276077593066,0.5630181153796382,0.03391279684793614,0.511306743824898
2296586,-22.80459,-43.35741,0.14285714285714285,21,-0.3827299888278795,-8.139256534745408,0.0496397088162478,0.9728078607099333,-0.09478565117281243,-1.39791606865882
2296608,-22.91865,-43.37393,0.23809523809523808,21,-0.3980496813114745,-8.37360323791575,0.02614054291230964,0.5066487270878126,-0.007932700362291309,-0.11742236972893139
2296691,-22.77079,-43.39525,0.0,21,-0.3838059911464768,-8.188082879564453,0.06905750174153061,1.5728407772509756,-0.1254492493387697,-1.5793584853898694
2296705,-22.71925,-43.32821,0.14285714285714285,21,-0.3761285333822609,-8.06590402840205,0.09082301670461591,2.0431993626119778,-0.014218187692918811,-0.19009214633957053
2298120,-22.86603,-43.44165,0.7142857142857143,21,-0.4011061509340222,-8.354595575997111,0.08430478666541201,1.5983992941930907,-0.45517052183926154,-5.083965227271694
2298570,-22.79122,-43.43658,0.0,21,-0.38929730687514247,-8.237587885089773,0.06913047010876452,1.4167463799339481,-0.20305445928205576,-2.4583369065162923
2298708,-22.78273,-43.37165,0.5238095238095238,21,-0.3825668024430792,-8.150336483043473,0.06730810613154985,1.4860503397554825,-0.11129289010516062,-1.673490607845701
2696525,-22.80094,-43.43315,0.0,21,-0.39048790481045864,-8.239066739562272,0.06885974374317502,1.429111298614925,-0.25972606655856006,-3.2780780265738465
2696533,-22.77582,-43.43768,0.0,21,-0.3874774528085751,-8.232575634809418,0.06851751726844012,1.4002537711630991,-0.1331160888326171,-1.460264199002121
2696711,-22.77965,-43.43184,0.0,21,-0.38761144680668613,-8.232545149123116,0.06800410626987358,1.429613435803733,-0.1479157288865772,-1.6480018600418262
2708167,-22.90129,-43.28111,2.2857142857142856,21,-0.3801851798357936,-8.119601047174012,0.06634437567104082,1.2725657206399388,-0.04641855906495629,-0.7507611140337693
2708175,-22.89658,-43.3553,0.0,21,-0.3904395786346174,-8.282008082251547,0.009765802309327842,0.17659567213079125,0.024734541364002695,0.3793239068952628
